family,indicator,mode,config,tf,asset,tr_n,tr_exp,tr_win%,tr_ret%,va_n,va_exp,va_win%,va_ret%,va_dd%,verdict,va_exp_delta_vs_base,tr_exp_delta_vs_base,va_sample_retention_vs_base,filter_is_noop
base,(unfiltered) donchian-20/20 long,signal,entry20/exit20,1h,BTC,351,7.7352,34.47,27.15,119,0.4186,38.66,0.5,-28.55,SURVIVOR,,,,False
trend,SMA cross,signal,10/30,1h,BTC,1334,29.6393,33.88,395.39,461,-7.5452,32.1,-34.78,-41.2,FAIL,,,,False
trend,SMA cross,filter,10/30,1h,BTC,347,6.9722,34.58,24.19,118,11.6039,39.83,13.69,-26.83,SURVIVOR,11.1853,-0.7629999999999999,0.992,False
trend,SMA cross,signal,20/50,1h,BTC,811,-0.6881,34.03,-5.58,265,-19.3368,35.85,-51.24,-63.62,FAIL,,,,False
trend,SMA cross,filter,20/50,1h,BTC,324,16.0515,31.79,52.01,112,-5.1899,30.36,-5.81,-31.19,FAIL,-5.608499999999999,8.316300000000002,0.941,False
trend,SMA cross,signal,50/200,1h,BTC,219,-11.6941,28.31,-25.61,77,11.2904,37.66,8.69,-45.82,FAIL,,,,False
trend,SMA cross,filter,50/200,1h,BTC,222,15.8396,30.18,35.16,83,1.3782,38.55,1.14,-23.82,SURVIVOR,0.9596,8.104400000000002,0.697,False
trend,SMA cross,signal,10/30,15m,BTC,5702,-1.7154,29.6,-97.81,1817,-2.4621,32.91,-44.74,-56.91,FAIL,,,,False
trend,SMA cross,signal,20/50,15m,BTC,3313,-2.0386,31.78,-67.54,1020,-1.2213,34.12,-12.46,-42.63,FAIL,,,,False
trend,SMA cross,signal,50/200,15m,BTC,851,12.1075,32.43,103.03,283,-0.5327,32.16,-1.51,-46.93,FAIL,,,,False
trend,EMA cross,signal,10/30,1h,BTC,1182,4.6447,27.16,54.9,373,2.8346,29.22,10.57,-42.14,SURVIVOR,,,,False
trend,EMA cross,filter,10/30,1h,BTC,340,14.2045,33.53,48.3,116,8.3342,38.79,9.67,-27.89,SURVIVOR,7.9155999999999995,6.4693,0.975,False
trend,EMA cross,signal,12/26,1h,BTC,1192,4.8138,26.68,57.38,363,5.0012,29.75,18.15,-38.89,SURVIVOR,,,,False
trend,EMA cross,filter,12/26,1h,BTC,341,11.8663,33.14,40.46,116,8.4711,38.79,9.83,-27.98,SURVIVOR,8.0525,4.131100000000001,0.975,False
trend,EMA cross,signal,50/200,1h,BTC,195,-2.3636,24.1,-4.61,77,-20.8561,29.87,-16.06,-49.95,FAIL,,,,False
trend,EMA cross,filter,50/200,1h,BTC,228,32.675,33.77,74.5,84,-2.0322,33.33,-1.71,-24.93,FAIL,-2.4508,24.939799999999998,0.706,False
trend,EMA cross,signal,10/30,15m,BTC,5168,-1.7366,22.45,-89.75,1637,-1.9452,26.76,-31.84,-49.77,FAIL,,,,False
trend,EMA cross,signal,12/26,15m,BTC,5080,-1.7948,23.27,-91.18,1593,-1.0314,27.62,-16.43,-46.87,FAIL,,,,False
trend,EMA cross,signal,50/200,15m,BTC,799,5.2986,25.28,42.34,267,-8.1004,24.72,-21.63,-48.53,FAIL,,,,False
trend,MACD line/signal cross,signal,12/26/9,1h,BTC,2509,1.0477,33.44,26.29,843,-3.8654,34.4,-32.59,-61.89,FAIL,,,,False
trend,MACD line/signal cross,filter,12/26/9,1h,BTC,351,7.8162,34.47,27.43,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.0810000000000004,1.0,False
trend,MACD line/signal cross,signal,5/13/6,1h,BTC,4915,-1.9731,31.23,-96.98,1595,-3.3531,33.04,-53.48,-63.98,FAIL,,,,False
trend,MACD line/signal cross,filter,5/13/6,1h,BTC,351,7.7352,34.47,27.15,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.0,1.0,True
trend,MACD line/signal cross,signal,19/39/9,1h,BTC,1868,20.7694,33.46,387.97,621,-1.064,36.88,-6.61,-46.53,FAIL,,,,False
trend,MACD line/signal cross,filter,19/39/9,1h,BTC,350,8.0558,34.57,28.2,117,3.7535,38.46,4.39,-27.26,SURVIVOR,3.3348999999999998,0.3205999999999998,0.983,False
trend,MACD line/signal cross,signal,12/26/9,15m,BTC,10445,-0.9512,30.9,-99.35,3627,-2.5227,31.24,-91.5,-91.61,FAIL,,,,False
trend,MACD line/signal cross,signal,5/13/6,15m,BTC,20074,-0.4979,31.08,-99.94,6758,-1.4062,31.52,-95.03,-95.4,FAIL,,,,False
trend,MACD line/signal cross,signal,19/39/9,15m,BTC,7997,-1.2397,30.36,-99.14,2709,-2.4984,31.01,-67.68,-70.96,FAIL,,,,False
trend,MACD histogram 0-cross,signal,12/26/9,1h,BTC,2509,1.0477,33.44,26.29,843,-3.8654,34.4,-32.59,-61.89,FAIL,,,,False
trend,MACD histogram 0-cross,filter,12/26/9,1h,BTC,351,7.8162,34.47,27.43,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.0810000000000004,1.0,False
trend,MACD histogram 0-cross,signal,5/13/6,1h,BTC,4915,-1.9731,31.23,-96.98,1595,-3.3531,33.04,-53.48,-63.98,FAIL,,,,False
trend,MACD histogram 0-cross,filter,5/13/6,1h,BTC,351,7.7352,34.47,27.15,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.0,1.0,True
trend,MACD histogram 0-cross,signal,19/39/9,1h,BTC,1868,20.7694,33.46,387.97,621,-1.064,36.88,-6.61,-46.53,FAIL,,,,False
trend,MACD histogram 0-cross,filter,19/39/9,1h,BTC,350,8.0558,34.57,28.2,117,3.7535,38.46,4.39,-27.26,SURVIVOR,3.3348999999999998,0.3205999999999998,0.983,False
trend,MACD histogram 0-cross,signal,12/26/9,15m,BTC,10445,-0.9512,30.9,-99.35,3627,-2.5227,31.24,-91.5,-91.61,FAIL,,,,False
trend,MACD histogram 0-cross,signal,5/13/6,15m,BTC,20074,-0.4979,31.08,-99.94,6758,-1.4062,31.52,-95.03,-95.4,FAIL,,,,False
trend,MACD histogram 0-cross,signal,19/39/9,15m,BTC,7997,-1.2397,30.36,-99.14,2709,-2.4984,31.01,-67.68,-70.96,FAIL,,,,False
trend,Aroon up/down cross,signal,14,1h,BTC,2561,-1.121,36.12,-28.71,852,-1.7828,37.21,-15.19,-49.97,FAIL,,,,False
trend,Aroon up/down cross,filter,14,1h,BTC,351,7.4474,34.19,26.14,119,-0.7035,38.66,-0.84,-28.55,FAIL,-1.1221,-0.28779999999999983,1.0,False
trend,Aroon up/down cross,signal,25,1h,BTC,1487,-4.9141,33.49,-73.07,495,-7.6554,34.95,-37.89,-45.76,FAIL,,,,False
trend,Aroon up/down cross,filter,25,1h,BTC,350,0.9241,32.57,3.23,117,8.7957,36.75,10.29,-27.09,SURVIVOR,8.3771,-6.8111,0.983,False
trend,Aroon up/down cross,signal,50,1h,BTC,773,-7.8395,33.64,-60.6,253,-20.1124,36.36,-50.88,-62.11,FAIL,,,,False
trend,Aroon up/down cross,filter,50,1h,BTC,310,12.421,32.9,38.51,108,-7.9704,35.19,-8.61,-29.91,FAIL,-8.389,4.6857999999999995,0.908,False
trend,Aroon up/down cross,signal,14,15m,BTC,10148,-0.9747,33.5,-98.92,3395,-2.5174,33.81,-85.47,-85.75,FAIL,,,,False
trend,Aroon up/down cross,signal,25,15m,BTC,6224,-1.5981,31.92,-99.46,2007,-2.9349,34.33,-58.9,-66.22,FAIL,,,,False
trend,Aroon up/down cross,signal,50,15m,BTC,3256,-1.8878,36.03,-61.47,1030,-1.7187,35.83,-17.7,-51.69,FAIL,,,,False
trend,Aroon oscillator 0-cross,signal,14,1h,BTC,2561,-1.121,36.12,-28.71,852,-1.7828,37.21,-15.19,-49.97,FAIL,,,,False
trend,Aroon oscillator 0-cross,filter,14,1h,BTC,351,7.4474,34.19,26.14,119,-0.7035,38.66,-0.84,-28.55,FAIL,-1.1221,-0.28779999999999983,1.0,False
trend,Aroon oscillator 0-cross,signal,25,1h,BTC,1487,-4.9141,33.49,-73.07,495,-7.6554,34.95,-37.89,-45.76,FAIL,,,,False
trend,Aroon oscillator 0-cross,filter,25,1h,BTC,350,0.9241,32.57,3.23,117,8.7957,36.75,10.29,-27.09,SURVIVOR,8.3771,-6.8111,0.983,False
trend,Aroon oscillator 0-cross,signal,50,1h,BTC,773,-7.8395,33.64,-60.6,253,-20.1124,36.36,-50.88,-62.11,FAIL,,,,False
trend,Aroon oscillator 0-cross,filter,50,1h,BTC,310,12.421,32.9,38.51,108,-7.9704,35.19,-8.61,-29.91,FAIL,-8.389,4.6857999999999995,0.908,False
trend,Aroon oscillator 0-cross,signal,14,15m,BTC,10148,-0.9747,33.5,-98.92,3395,-2.5174,33.81,-85.47,-85.75,FAIL,,,,False
trend,Aroon oscillator 0-cross,signal,25,15m,BTC,6224,-1.5981,31.92,-99.46,2007,-2.9349,34.33,-58.9,-66.22,FAIL,,,,False
trend,Aroon oscillator 0-cross,signal,50,15m,BTC,3256,-1.8878,36.03,-61.47,1030,-1.7187,35.83,-17.7,-51.69,FAIL,,,,False
trend,ADX/DMI DI cross,signal,14,1h,BTC,2537,5.002,24.71,126.9,840,-1.9009,26.9,-15.97,-62.81,FAIL,,,,False
trend,ADX/DMI DI cross,filter,14,1h,BTC,346,9.4089,34.1,32.55,118,0.9408,38.14,1.11,-28.57,SURVIVOR,0.5222,1.6736999999999993,0.992,False
trend,ADX/DMI DI cross,signal,25,1h,BTC,1761,6.1593,25.67,108.47,591,-2.8965,25.04,-17.12,-58.54,FAIL,,,,False
trend,ADX/DMI DI cross,filter,25,1h,BTC,320,31.2878,35.0,100.12,111,5.5357,39.64,6.14,-24.79,SURVIVOR,5.117100000000001,23.5526,0.933,False
trend,ADX/DMI DI cross,signal,50,1h,BTC,1189,8.7418,24.22,103.94,400,-4.2958,22.75,-17.18,-63.7,FAIL,,,,False
trend,ADX/DMI DI cross,filter,50,1h,BTC,286,17.9994,34.27,51.48,97,11.962,41.24,11.6,-28.87,SURVIVOR,11.5434,10.264200000000002,0.815,False
trend,ADX/DMI DI cross,signal,14,15m,BTC,10624,-0.934,22.04,-99.23,3541,-1.9647,24.71,-69.57,-71.11,FAIL,,,,False
trend,ADX/DMI DI cross,signal,25,15m,BTC,7314,-1.2557,21.03,-91.84,2525,-1.3965,22.57,-35.26,-41.94,FAIL,,,,False
trend,ADX/DMI DI cross,signal,50,15m,BTC,4888,-1.0017,19.82,-48.96,1701,-3.217,19.69,-54.72,-58.94,FAIL,,,,False
trend,ADX/DMI DI-cross+ADX>thresh,signal,"n14,adx>20",1h,BTC,1636,1.3086,28.91,21.41,494,-1.9158,33.4,-9.46,-45.24,FAIL,,,,False
trend,ADX/DMI DI-cross+ADX>thresh,filter,"n14,adx>20",1h,BTC,319,9.3361,32.29,29.78,102,18.8516,40.2,19.23,-32.71,SURVIVOR,18.433,1.6009000000000002,0.857,False
trend,ADX/DMI DI-cross+ADX>thresh,signal,"n14,adx>25",1h,BTC,1133,3.1439,31.16,35.62,361,-8.495,30.47,-30.67,-47.96,FAIL,,,,False
trend,ADX/DMI DI-cross+ADX>thresh,filter,"n14,adx>25",1h,BTC,270,14.0863,32.59,38.03,90,-7.0014,35.56,-6.3,-34.79,FAIL,-7.42,6.3511,0.756,False
trend,ADX/DMI DI-cross+ADX>thresh,signal,"n25,adx>20",1h,BTC,741,0.4265,31.44,3.16,235,-10.7297,29.79,-25.21,-41.3,FAIL,,,,False
trend,ADX/DMI DI-cross+ADX>thresh,filter,"n25,adx>20",1h,BTC,229,11.5977,29.26,26.56,76,-11.2131,32.89,-8.52,-37.71,FAIL,-11.6317,3.8625,0.639,False
trend,ADX/DMI DI-cross+ADX>thresh,signal,"n14,adx>20",15m,BTC,6259,-1.481,26.11,-92.69,2072,-1.4556,29.2,-30.16,-39.21,FAIL,,,,False
trend,ADX/DMI DI-cross+ADX>thresh,signal,"n14,adx>25",15m,BTC,4169,-1.6474,28.4,-68.68,1367,-0.19,32.48,-2.6,-25.43,FAIL,,,,False
trend,ADX/DMI DI-cross+ADX>thresh,signal,"n25,adx>20",15m,BTC,2626,-1.4163,29.02,-37.19,803,-1.1235,32.13,-9.02,-30.86,FAIL,,,,False
trend,SuperTrend,signal,ATR10xMult3,1h,BTC,729,-7.6876,34.57,-56.04,254,-19.6468,33.86,-49.9,-59.96,FAIL,,,,False
trend,SuperTrend,filter,ATR10xMult3,1h,BTC,316,19.076,34.81,60.28,113,-5.1558,39.82,-5.83,-28.21,FAIL,-5.5744,11.340800000000002,0.95,False
trend,SuperTrend,signal,ATR14xMult3,1h,BTC,723,-5.1378,34.85,-37.15,256,-21.2008,34.77,-54.27,-63.78,FAIL,,,,False
trend,SuperTrend,filter,ATR14xMult3,1h,BTC,317,19.1989,34.38,60.86,112,-1.2246,40.18,-1.37,-26.87,FAIL,-1.6432,11.4637,0.941,False
trend,SuperTrend,signal,ATR14xMult2,1h,BTC,1287,-0.4918,34.11,-6.33,436,-2.3981,36.24,-10.46,-44.76,FAIL,,,,False
trend,SuperTrend,filter,ATR14xMult2,1h,BTC,345,9.1557,34.78,31.59,116,7.0786,39.66,8.21,-26.49,SURVIVOR,6.66,1.4204999999999997,0.975,False
trend,SuperTrend,signal,ATR10xMult3,15m,BTC,3160,-0.9444,32.69,-29.84,986,-2.0747,32.96,-20.46,-53.08,FAIL,,,,False
trend,SuperTrend,signal,ATR14xMult3,15m,BTC,3194,-0.1006,33.09,-3.21,980,-0.3735,33.88,-3.66,-46.43,FAIL,,,,False
trend,SuperTrend,signal,ATR14xMult2,15m,BTC,6236,-1.562,31.22,-97.4,1895,-2.6308,34.83,-49.85,-52.91,FAIL,,,,False
trend,Parabolic SAR,signal,0.02/0.2,1h,BTC,2512,-3.1938,36.82,-80.23,898,-3.9102,38.75,-35.11,-52.29,FAIL,,,,False
trend,Parabolic SAR,filter,0.02/0.2,1h,BTC,351,7.4859,34.47,26.28,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,-0.24929999999999986,1.0,False
trend,Parabolic SAR,signal,0.01/0.1,1h,BTC,1488,-1.1513,37.37,-17.13,546,-6.6102,37.36,-36.09,-61.29,FAIL,,,,False
trend,Parabolic SAR,filter,0.01/0.1,1h,BTC,348,6.5381,34.2,22.75,118,1.403,38.98,1.66,-28.47,SURVIVOR,0.9843999999999999,-1.1970999999999998,0.992,False
trend,Parabolic SAR,signal,0.03/0.3,1h,BTC,3426,-2.869,35.43,-98.29,1192,-2.6492,38.67,-31.58,-53.49,FAIL,,,,False
trend,Parabolic SAR,filter,0.03/0.3,1h,BTC,351,7.9506,34.47,27.91,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.2153999999999998,1.0,False
trend,Parabolic SAR,signal,0.02/0.2,15m,BTC,10110,-0.9746,35.64,-98.53,3815,-2.2284,35.91,-85.01,-87.12,FAIL,,,,False
trend,Parabolic SAR,signal,0.01/0.1,15m,BTC,5920,-1.5982,35.39,-94.61,2221,-1.0679,37.6,-23.72,-43.09,FAIL,,,,False
trend,Parabolic SAR,signal,0.03/0.3,15m,BTC,13688,-0.7292,35.91,-99.81,5029,-1.5979,36.75,-80.36,-85.97,FAIL,,,,False
trend,Ichimoku tenkan/kijun cross,signal,9/26/52,4h,BTC,422,-14.2029,35.78,-59.94,129,91.5785,41.86,118.14,-23.05,FAIL,,,,False
trend,Ichimoku tenkan/kijun cross,signal,7/22/44,4h,BTC,492,-12.2948,36.38,-60.49,153,27.3674,43.79,41.87,-31.73,FAIL,,,,False
trend,Ichimoku price vs cloud,signal,9/26/52,4h,BTC,222,-22.6096,24.32,-50.19,69,-13.3902,28.99,-9.24,-48.32,FAIL,,,,False
trend,Ichimoku price vs cloud,signal,7/22/44,4h,BTC,250,-14.3189,23.6,-35.8,79,-9.2572,31.65,-7.31,-54.61,FAIL,,,,False
trend,TRIX 0-cross,signal,15,1h,BTC,815,-4.4524,31.04,-36.29,271,-5.0257,34.32,-13.62,-52.35,FAIL,,,,False
trend,TRIX 0-cross,filter,15,1h,BTC,326,8.1433,33.44,26.55,113,-0.7967,38.94,-0.9,-31.67,FAIL,-1.2153,0.40810000000000013,0.95,False
trend,TRIX 0-cross,signal,9,1h,BTC,1372,0.3275,30.1,4.49,455,4.0493,30.99,18.42,-33.74,SURVIVOR,,,,False
trend,TRIX 0-cross,filter,9,1h,BTC,349,4.1233,33.81,14.39,118,8.2044,37.29,9.68,-24.5,SURVIVOR,7.7858,-3.6118999999999994,0.992,False
trend,TRIX 0-cross,signal,30,1h,BTC,406,-5.1049,30.3,-20.73,121,65.2924,38.02,79.0,-35.18,FAIL,,,,False
trend,TRIX 0-cross,filter,30,1h,BTC,270,25.3055,33.33,68.32,93,38.7193,36.56,36.01,-19.53,SURVIVOR,38.3007,17.5703,0.782,False
trend,TRIX 0-cross,signal,15,15m,BTC,3444,-1.328,28.86,-45.74,1079,-2.5311,31.88,-27.31,-52.84,FAIL,,,,False
trend,TRIX 0-cross,signal,9,15m,BTC,5966,-1.6442,27.19,-98.09,1905,-1.3292,30.81,-25.32,-40.72,FAIL,,,,False
trend,TRIX 0-cross,signal,30,15m,BTC,1645,2.8352,30.82,46.64,539,0.2738,33.21,1.48,-36.59,SURVIVOR,,,,False
trend,Vortex VI+/VI- cross,signal,14,1h,BTC,3963,1.562,32.12,61.9,1210,-0.9526,34.71,-11.53,-47.65,FAIL,,,,False
trend,Vortex VI+/VI- cross,filter,14,1h,BTC,351,7.5689,34.19,26.57,119,0.4067,38.66,0.48,-28.56,SURVIVOR,-0.011900000000000022,-0.16629999999999967,1.0,False
trend,Vortex VI+/VI- cross,signal,21,1h,BTC,3101,5.2498,32.8,162.8,995,0.1621,32.86,1.61,-36.99,SURVIVOR,,,,False
trend,Vortex VI+/VI- cross,filter,21,1h,BTC,350,8.401,34.57,29.4,119,1.0916,38.66,1.3,-28.31,SURVIVOR,0.6729999999999998,0.6658,1.0,False
trend,Vortex VI+/VI- cross,signal,34,1h,BTC,2527,-0.1558,31.54,-3.94,746,-6.945,32.04,-51.81,-57.07,FAIL,,,,False
trend,Vortex VI+/VI- cross,filter,34,1h,BTC,346,6.2228,32.95,21.53,117,-5.1981,35.9,-6.08,-31.53,FAIL,-5.6167,-1.5123999999999995,0.983,False
trend,Vortex VI+/VI- cross,signal,14,15m,BTC,15324,-0.6512,29.14,-99.79,4811,-1.7487,30.85,-84.13,-87.08,FAIL,,,,False
trend,Vortex VI+/VI- cross,signal,21,15m,BTC,12734,-0.7847,28.03,-99.92,4015,-1.961,30.16,-78.73,-79.81,FAIL,,,,False
trend,Vortex VI+/VI- cross,signal,34,15m,BTC,10421,-0.9536,27.91,-99.38,3118,-1.1021,29.7,-34.36,-65.34,FAIL,,,,False
trend,KAMA cross,signal,10/2/30,1h,BTC,5070,-1.9414,18.97,-98.43,1562,-2.8861,21.83,-45.08,-61.6,FAIL,,,,False
trend,KAMA cross,filter,10/2/30,1h,BTC,351,7.7352,34.47,27.15,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.0,1.0,True
trend,KAMA cross,signal,5/2/20,1h,BTC,6934,-1.4212,23.23,-98.54,2186,-2.9861,25.98,-65.28,-80.06,FAIL,,,,False
trend,KAMA cross,filter,5/2/20,1h,BTC,351,7.7352,34.47,27.15,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.0,1.0,True
trend,KAMA cross,signal,10/2/30,15m,BTC,20454,-0.4889,18.39,-100.0,6531,-1.3929,21.11,-90.97,-91.39,FAIL,,,,False
trend,KAMA cross,signal,5/2/20,15m,BTC,28197,-0.3546,22.4,-100.0,9322,-1.061,23.9,-98.91,-98.93,FAIL,,,,False
trend,Hull MA cross,signal,9,1h,BTC,11243,-0.8562,37.13,-96.27,3892,-2.3956,34.58,-93.24,-93.36,FAIL,,,,False
trend,Hull MA cross,filter,9,1h,BTC,351,7.7352,34.47,27.15,119,1.3351,38.66,1.59,-28.55,SURVIVOR,0.9164999999999999,0.0,1.0,False
trend,Hull MA cross,signal,16,1h,BTC,8031,-1.2324,30.62,-98.98,2721,-3.2402,31.28,-88.17,-88.47,FAIL,,,,False
trend,Hull MA cross,filter,16,1h,BTC,351,7.7352,34.47,27.15,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.0,1.0,True
trend,Hull MA cross,signal,21,1h,BTC,6823,-1.4553,29.34,-99.29,2329,-3.2163,30.06,-74.91,-79.37,FAIL,,,,False
trend,Hull MA cross,filter,21,1h,BTC,351,7.7352,34.47,27.15,119,0.4186,38.66,0.5,-28.55,SURVIVOR,0.0,0.0,1.0,True
trend,Hull MA cross,signal,9,15m,BTC,46841,-0.2135,33.5,-100.0,15640,-0.6376,34.27,-99.72,-99.73,FAIL,,,,False
trend,Hull MA cross,signal,16,15m,BTC,33257,-0.3007,29.55,-100.0,11108,-0.8929,30.28,-99.19,-99.22,FAIL,,,,False
